Running SLURM prolog script on red232.cluster.local
===============================================================================
Job started on Wed Jun 19 15:54:31 BST 2024
Job ID          : 6140878
Job name        : NameThisGame_2
WorkDir         : /mainfs/home/kv2e21/RLFromTheGround
Command         : /mainfs/home/kv2e21/RLFromTheGround/run_NameThisGame_5.slurm
Partition       : batch
Num hosts       : 1
Num cores       : 40
Num of tasks    : 1
Hosts allocated : red232
Job Output Follows ...
===============================================================================
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2265.20 total_steps 64800 fps 1509.99
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2282.31 total_steps 66000 fps 1432.83
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2282.31 total_steps 67200 fps 1528.20
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2607.86 total_steps 120000 fps 145.91
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2282.31 total_steps 68400 fps 1511.58
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2272.22 total_steps 69600 fps 1428.78
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2379.57 total_steps 122400 fps 130.74
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2272.22 total_steps 70800 fps 1542.09
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2272.22 total_steps 72000 fps 1521.27
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2320.00 total_steps 73200 fps 1409.76
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2320.00 total_steps 74400 fps 1543.29
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2320.00 total_steps 75600 fps 1391.47
NStep3DQN_game_NameThisGame NameThisGame avg score 2417.56 total_steps 122400 fps 114.93
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2320.00 total_steps 76800 fps 1532.92
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2320.00 total_steps 78000 fps 1550.11
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2343.67 total_steps 79200 fps 1420.18
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2607.86 total_steps 121200 fps 139.42
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2343.67 total_steps 80400 fps 401.93
NStep3DQN_fc1_128_game_NameThisGame NameThisGame avg score 2379.57 total_steps 123600 fps 128.03
NStep3DQN_game_NameThisGame NameThisGame avg score 2397.83 total_steps 123600 fps 149.44
NStep3DQN_update_target_1000_game_NameThisGame NameThisGame avg score 2362.90 total_steps 81600 fps 261.61
NStep3DQN_lr_1e5_game_NameThisGame NameThisGame avg score 2610.00 total_steps 122400 fps 142.13
